time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20160907T003011,102.101,0,0,102.128,0,0
20160907T003011,102.099,0,0,102.128,0,0
20160907T003017,102.097,0,0,102.125,0,0
20160907T003017,102.097,0,0,102.119,0,0
20160907T003017,102.095,0,0,102.117,0,0
20160907T003017,102.094,0,0,102.115,0,0
20160907T003017,102.091,0,0,102.115,0,0
20160907T003018,102.092,0,0,102.12,0,0
20160907T003018,102.089,0,0,102.118,0,0
20160907T003018,102.092,0,0,102.121,0,0
20160907T003018,102.093,0,0,102.121,0,0
20160907T003019,102.092,0,0,102.121,0,0
20160907T003020,102.087,0,0,102.115,0,0
20160907T003020,102.081,0,0,102.107,0,0
20160907T003020,102.079,0,0,102.107,0,0
20160907T003021,102.075,0,0,102.107,0,0
20160907T003021,102.073,0,0,102.107,0,0
20160907T003021,102.075,0,0,102.108,0,0
20160907T003021,102.075,0,0,102.109,0,0
20160907T003021,102.085,0,0,102.119,0,0
20160907T003021,102.088,0,0,102.124,0,0
20160907T003021,102.087,0,0,102.124,0,0
20160907T003021,102.088,0,0,102.125,0,0
20160907T003022,102.088,0,0,102.124,0,0
20160907T003022,102.088,0,0,102.125,0,0
20160907T003023,102.088,0,0,102.124,0,0
20160907T003023,102.089,0,0,102.124,0,0
20160907T003023,102.089,0,0,102.123,0,0
20160907T003027,102.099,0,0,102.126,0,0
20160907T003027,102.1,0,0,102.128,0,0
20160907T003027,102.1,0,0,102.129,0,0
20160907T003027,102.1,0,0,102.131,0,0
20160907T003027,102.1,0,0,102.129,0,0
20160907T003029,102.1,0,0,102.131,0,0
20160907T003030,102.103,0,0,102.132,0,0
20160907T003030,102.103,0,0,102.13,0,0
20160907T003031,102.104,0,0,102.131,0,0
20160907T003034,102.104,0,0,102.129,0,0
20160907T003034,102.094,0,0,102.118,0,0
20160907T003034,102.09,0,0,102.114,0,0
20160907T003035,102.089,0,0,102.114,0,0
20160907T003035,102.088,0,0,102.117,0,0
20160907T003035,102.088,0,0,102.118,0,0
20160907T003035,102.088,0,0,102.117,0,0
20160907T003036,102.088,0,0,102.118,0,0
20160907T003037,102.088,0,0,102.116,0,0
20160907T003037,102.088,0,0,102.118,0,0
20160907T003037,102.088,0,0,102.117,0,0
20160907T003038,102.088,0,0,102.118,0,0
20160907T003038,102.088,0,0,102.117,0,0
20160907T003038,102.091,0,0,102.12,0,0
20160907T003038,102.093,0,0,102.121,0,0
20160907T003038,102.092,0,0,102.12,0,0
20160907T003039,102.093,0,0,102.122,0,0
20160907T003039,102.094,0,0,102.122,0,0
20160907T003040,102.094,0,0,102.121,0,0
20160907T003041,102.101,0,0,102.13,0,0
20160907T003041,102.105,0,0,102.134,0,0
20160907T003041,102.105,0,0,102.133,0,0
20160907T003041,102.103,0,0,102.133,0,0
20160907T003042,102.1,0,0,102.129,0,0
20160907T003042,102.099,0,0,102.127,0,0
20160907T003042,102.097,0,0,102.127,0,0
20160907T003042,102.1,0,0,102.127,0,0
20160907T003042,102.105,0,0,102.133,0,0
20160907T003042,102.106,0,0,102.132,0,0
20160907T003042,102.106,0,0,102.131,0,0
20160907T003042,102.106,0,0,102.132,0,0
20160907T003043,102.105,0,0,102.132,0,0
20160907T003043,102.103,0,0,102.13,0,0
20160907T003043,102.103,0,0,102.129,0,0
20160907T003043,102.103,0,0,102.128,0,0
20160907T003043,102.103,0,0,102.129,0,0
20160907T003043,102.103,0,0,102.13,0,0
20160907T003043,102.103,0,0,102.129,0,0
20160907T003044,102.102,0,0,102.129,0,0
20160907T003049,102.103,0,0,102.129,0,0
20160907T003050,102.102,0,0,102.129,0,0
20160907T003050,102.103,0,0,102.13,0,0
20160907T003051,102.102,0,0,102.13,0,0
20160907T003051,102.102,0,0,102.129,0,0
20160907T003051,102.102,0,0,102.13,0,0
20160907T003051,102.102,0,0,102.129,0,0
20160907T003051,102.103,0,0,102.129,0,0
20160907T003051,102.103,0,0,102.13,0,0
20160907T003052,102.103,0,0,102.129,0,0
20160907T003053,102.103,0,0,102.13,0,0
20160907T003053,102.103,0,0,102.129,0,0
20160907T003056,102.102,0,0,102.129,0,0
20160907T003058,102.103,0,0,102.129,0,0
20160907T003058,102.103,0,0,102.13,0,0
20160907T003058,102.103,0,0,102.129,0,0
20160907T003058,102.103,0,0,102.13,0,0
20160907T003058,102.102,0,0,102.129,0,0
20160907T003103,102.102,0,0,102.127,0,0
20160907T003103,102.102,0,0,102.126,0,0
20160907T003104,102.102,0,0,102.128,0,0
20160907T003104,102.103,0,0,102.126,0,0
20160907T003105,102.103,0,0,102.125,0,0
20160907T003106,102.102,0,0,102.124,0,0
20160907T003106,102.102,0,0,102.125,0,0
20160907T003107,102.101,0,0,102.125,0,0
20160907T003107,102.101,0,0,102.124,0,0
20160907T003108,102.102,0,0,102.124,0,0
20160907T003109,102.1,0,0,102.124,0,0
20160907T003109,102.099,0,0,102.124,0,0
20160907T003120,102.099,0,0,102.123,0,0
20160907T003120,102.099,0,0,102.124,0,0
20160907T003148,102.102,0,0,102.127,0,0
20160907T003149,102.102,0,0,102.126,0,0
20160907T003151,102.097,0,0,102.122,0,0
20160907T003151,102.095,0,0,102.119,0,0
20160907T003151,102.094,0,0,102.119,0,0
20160907T003153,102.094,0,0,102.118,0,0
20160907T003153,102.094,0,0,102.119,0,0
20160907T003154,102.094,0,0,102.118,0,0
20160907T003155,102.094,0,0,102.119,0,0
20160907T003201,102.094,0,0,102.118,0,0
20160907T003202,102.094,0,0,102.119,0,0
20160907T003204,102.094,0,0,102.121,0,0
20160907T003209,102.094,0,0,102.12,0,0
20160907T003210,102.094,0,0,102.118,0,0
20160907T003211,102.094,0,0,102.119,0,0
20160907T003213,102.094,0,0,102.118,0,0
20160907T003215,102.093,0,0,102.117,0,0
20160907T003223,102.093,0,0,102.118,0,0
20160907T003238,102.094,0,0,102.118,0,0
20160907T003239,102.094,0,0,102.12,0,0
20160907T003245,102.094,0,0,102.118,0,0
20160907T003306,102.095,0,0,102.118,0,0
20160907T003306,102.095,0,0,102.12,0,0
20160907T003306,102.095,0,0,102.119,0,0
20160907T003349,102.095,0,0,102.118,0,0
20160907T003353,102.095,0,0,102.119,0,0
20160907T003356,102.093,0,0,102.117,0,0
20160907T003356,102.093,0,0,102.116,0,0
20160907T003356,102.093,0,0,102.117,0,0
20160907T003400,102.092,0,0,102.115,0,0
20160907T003400,102.093,0,0,102.115,0,0
20160907T003400,102.095,0,0,102.118,0,0
20160907T003401,102.095,0,0,102.119,0,0
20160907T003402,102.098,0,0,102.123,0,0
20160907T003402,102.1,0,0,102.124,0,0
20160907T003402,102.101,0,0,102.123,0,0
20160907T003402,102.101,0,0,102.124,0,0
20160907T003411,102.099,0,0,102.122,0,0
20160907T003411,102.098,0,0,102.121,0,0
20160907T003411,102.098,0,0,102.119,0,0
20160907T003411,102.097,0,0,102.119,0,0
20160907T003411,102.097,0,0,102.118,0,0
20160907T003412,102.094,0,0,102.119,0,0
20160907T003412,102.095,0,0,102.119,0,0
20160907T003413,102.095,0,0,102.118,0,0
20160907T003415,102.095,0,0,102.119,0,0
20160907T003417,102.096,0,0,102.119,0,0
20160907T003419,102.103,0,0,102.125,0,0
20160907T003419,102.105,0,0,102.127,0,0
20160907T003419,102.106,0,0,102.128,0,0
20160907T003419,102.105,0,0,102.128,0,0
20160907T003420,102.105,0,0,102.127,0,0
20160907T003422,102.104,0,0,102.127,0,0
20160907T003422,102.105,0,0,102.127,0,0
20160907T003423,102.104,0,0,102.127,0,0
20160907T003426,102.105,0,0,102.127,0,0
20160907T003426,102.104,0,0,102.127,0,0
20160907T003426,102.104,0,0,102.126,0,0
20160907T003427,102.105,0,0,102.126,0,0
20160907T003428,102.104,0,0,102.126,0,0
20160907T003430,102.105,0,0,102.126,0,0
20160907T003430,102.102,0,0,102.125,0,0
20160907T003431,102.097,0,0,102.119,0,0
20160907T003431,102.096,0,0,102.118,0,0
20160907T003431,102.098,0,0,102.12,0,0
20160907T003431,102.099,0,0,102.121,0,0
20160907T003431,102.099,0,0,102.12,0,0
20160907T003432,102.098,0,0,102.12,0,0
20160907T003432,102.098,0,0,102.121,0,0
20160907T003439,102.094,0,0,102.117,0,0
20160907T003439,102.094,0,0,102.115,0,0
20160907T003444,102.094,0,0,102.114,0,0
20160907T003445,102.091,0,0,102.113,0,0
20160907T003450,102.091,0,0,102.114,0,0
20160907T003453,102.091,0,0,102.112,0,0
20160907T003500,102.091,0,0,102.113,0,0
20160907T003504,102.091,0,0,102.112,0,0
20160907T003507,102.093,0,0,102.115,0,0
20160907T003508,102.092,0,0,102.112,0,0
20160907T003508,102.091,0,0,102.112,0,0
20160907T003508,102.091,0,0,102.113,0,0
20160907T003508,102.091,0,0,102.112,0,0
20160907T003509,102.091,0,0,102.113,0,0
20160907T003518,102.091,0,0,102.112,0,0
20160907T003527,102.091,0,0,102.113,0,0
20160907T003558,102.091,0,0,102.112,0,0
20160907T003608,102.091,0,0,102.113,0,0
20160907T003610,102.094,0,0,102.116,0,0
20160907T003610,102.096,0,0,102.119,0,0
20160907T003610,102.094,0,0,102.116,0,0
20160907T003610,102.098,0,0,102.121,0,0
20160907T003611,102.098,0,0,102.118,0,0
20160907T003611,102.095,0,0,102.115,0,0
20160907T003611,102.095,0,0,102.116,0,0
20160907T003611,102.095,0,0,102.117,0,0
20160907T003613,102.094,0,0,102.117,0,0
20160907T003615,102.095,0,0,102.117,0,0
20160907T003629,102.1,0,0,102.122,0,0
20160907T003629,102.101,0,0,102.121,0,0
20160907T003629,102.101,0,0,102.122,0,0
20160907T003631,102.102,0,0,102.124,0,0
20160907T003638,102.102,0,0,102.123,0,0
20160907T003638,102.1,0,0,102.122,0,0
20160907T003641,102.1,0,0,102.121,0,0
20160907T003644,102.1,0,0,102.12,0,0
20160907T003645,102.099,0,0,102.12,0,0
20160907T003651,102.1,0,0,102.121,0,0
20160907T003652,102.096,0,0,102.117,0,0
20160907T003652,102.093,0,0,102.114,0,0
20160907T003652,102.089,0,0,102.11,0,0
20160907T003654,102.087,0,0,102.108,0,0
20160907T003714,102.084,0,0,102.105,0,0
20160907T003714,102.093,0,0,102.114,0,0
20160907T003714,102.09,0,0,102.11,0,0
20160907T003714,102.094,0,0,102.114,0,0
20160907T003714,102.096,0,0,102.115,0,0
20160907T003714,102.098,0,0,102.118,0,0
20160907T003714,102.097,0,0,102.117,0,0
20160907T003714,102.098,0,0,102.117,0,0
20160907T003714,102.097,0,0,102.118,0,0
20160907T003715,102.104,0,0,102.125,0,0
20160907T003715,102.101,0,0,102.121,0,0
20160907T003715,102.099,0,0,102.12,0,0
20160907T003715,102.097,0,0,102.118,0,0
20160907T003747,102.101,0,0,102.122,0,0
20160907T003750,102.099,0,0,102.12,0,0
20160907T003801,102.1,0,0,102.12,0,0
20160907T003802,102.103,0,0,102.123,0,0
20160907T003803,102.103,0,0,102.124,0,0
20160907T003803,102.102,0,0,102.123,0,0
20160907T003803,102.101,0,0,102.122,0,0
20160907T003803,102.1,0,0,102.121,0,0
20160907T003807,102.1,0,0,102.12,0,0
20160907T003807,102.1,0,0,102.119,0,0
20160907T003808,102.099,0,0,102.119,0,0
20160907T003808,102.099,0,0,102.12,0,0
20160907T003812,102.1,0,0,102.121,0,0
20160907T003813,102.101,0,0,102.121,0,0
20160907T003839,102.1,0,0,102.121,0,0
20160907T003852,102.102,0,0,102.123,0,0
20160907T003852,102.102,0,0,102.124,0,0
20160907T003852,102.103,0,0,102.124,0,0
20160907T003853,102.102,0,0,102.124,0,0
20160907T003853,102.103,0,0,102.124,0,0
20160907T003854,102.102,0,0,102.124,0,0
20160907T003928,102.103,0,0,102.124,0,0
20160907T003929,102.102,0,0,102.124,0,0
20160907T003935,102.103,0,0,102.124,0,0
20160907T003937,102.102,0,0,102.124,0,0
20160907T003945,102.103,0,0,102.124,0,0
20160907T004004,102.101,0,0,102.122,0,0
20160907T004004,102.1,0,0,102.121,0,0
20160907T004017,102.099,0,0,102.12,0,0
20160907T004020,102.1,0,0,102.12,0,0
20160907T004021,102.1,0,0,102.121,0,0
20160907T004021,102.099,0,0,102.12,0,0
20160907T004023,102.1,0,0,102.12,0,0
20160907T004023,102.1,0,0,102.121,0,0
20160907T004030,102.099,0,0,102.12,0,0
20160907T004031,102.1,0,0,102.12,0,0
20160907T004031,102.1,0,0,102.121,0,0
20160907T004107,102.1,0,0,102.12,0,0
